0,5.999335
1,3.214271
2,2.365148
3,1.859358
4,1.557755
5,1.433436
6,1.230016
7,1.111398
8,0.990420
9,0.940356
10,0.836119
11,0.813253
12,0.725606
13,0.683525
14,0.636669
15,0.595517
16,0.593533
17,0.532308
18,0.515931
19,0.496853
20,0.474525
21,0.431801
22,0.447238
23,0.412598
24,0.391797
25,0.369924
26,0.364578
27,0.330552
28,0.340129
29,0.321347
30,0.273909
31,0.284687
32,0.267623
33,0.240507
34,0.232965
35,0.226957
36,0.230748
37,0.200670
38,0.206163
39,0.205766
40,0.184772
41,0.176526
42,0.184262
43,0.171457
44,0.144060
45,0.149291
46,0.133979
47,0.121406
48,0.132932
49,0.110569
50,0.112201
51,0.125506
52,0.093019
53,0.082050
54,0.075672
55,0.068096
56,0.071433
57,0.050537
58,0.063601
59,0.066086
60,0.049182
61,0.048306
62,0.033931
63,0.029008
64,0.031425
65,0.022211
66,0.024855
67,0.015061
68,0.014741
69,-0.008326
70,-0.014033
71,-0.016357
72,-0.026934
73,0.008298
74,-0.018955
75,-0.019312
76,-0.032583
77,-0.032604
78,-0.024996
79,-0.038329
80,-0.044453
81,-0.039533
82,-0.038615
83,-0.052614
84,-0.062294
85,-0.062750
86,-0.065166
87,-0.064719
88,-0.072943
89,-0.076120
90,-0.067943
91,-0.096715
92,-0.085793
93,-0.088155
94,-0.092662
95,-0.099851
96,-0.093939
97,-0.116334
98,-0.104758
99,-0.110347
